latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean_2021,dhi_mean_2021,dni_mean_2021,temp_mean_2021,wind_mean_2021,sp_mean_2021
31.33,-111.06,1482.85,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',28,110,243.68601598173515,52.54189497716895,321.53287671232874,171.01535388127854,25.000399543378997,852.5709474885845
31.33,-111.02,1323.45,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',137,130,242.60433789954337,52.84200913242009,318.81352739726026,185.09046803652967,24.893436073059362,875.4486872146118
31.33,-110.98,1266.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',16510,130,242.84788812785388,52.06792237442922,319.45148401826486,186.676997716895,24.848344748858448,878.1180365296804
31.33,-110.94,1205.05,-7,b'United States',b'Arizona',b'Santa Cruz',b'Nogales',35764,130,242.79754566210045,52.16181506849315,318.1292808219178,192.29269406392694,24.713641552511415,887.624600456621
31.33,-110.9,1220.1875,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',446,130,242.876598173516,51.791723744292234,319.1316780821918,191.42488584474887,24.674828767123287,886.3036529680365
31.33,-110.86,1183.3,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',278,130,242.6511415525114,51.650456621004565,317.7236301369863,195.5675799086758,24.607762557077624,893.4709474885844
31.33,-110.82,1173.95,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',95,130,242.26803652968036,51.570148401826486,317.36318493150685,193.22699771689497,24.60296803652968,889.8436643835616
31.33,-110.78,1289.45,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',64,130,242.5009703196347,51.30119863013699,318.77391552511415,189.3505707762557,24.604052511415524,883.5886415525114
31.33,-110.74,1559.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',69,110,242.9398401826484,51.28681506849315,321.935502283105,163.29828767123288,24.6236301369863,842.1420091324201
31.33,-110.7,1686.9375,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',38,30,241.52340182648402,52.109703196347034,319.52979452054797,159.69874429223745,24.63002283105023,836.5881278538812
31.33,-110.66,1527.55,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,130,240.65496575342465,52.88213470319635,315.7477739726027,175.29560502283104,24.64994292237443,861.6301369863014
31.33,-110.62,1438.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',26,30,240.76552511415525,53.4814497716895,314.84497716894975,177.18584474885844,24.651084474885845,864.6724315068493
31.33,-110.58,1423.6,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,130,240.94965753424657,53.355422374429224,314.1108447488584,177.60856164383563,24.640924657534246,865.3170091324201
31.33,-110.54,1476.6,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',7,130,241.4054794520548,53.19937214611872,314.83019406392697,176.0695776255708,24.635045662100456,862.8237442922374
31.33,-110.5,1519.6875,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',14,30,242.312100456621,52.8908105022831,317.4215182648402,172.20833333333334,24.627739726027396,856.5778538812785
31.33,-110.46,1569.9,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',27,130,242.55182648401828,53.00308219178082,318.5973173515982,166.82659817351598,24.61832191780822,847.8840182648402
31.33,-110.42,1589.05,-7,b'United States',b'Arizona',b'Cochise',b'None',4,130,242.4611301369863,53.27277397260274,319.0037671232877,166.10867579908677,24.62420091324201,846.6342465753424
31.33,-110.38,1596.95,-7,b'United States',b'Arizona',b'Cochise',b'None',1,130,242.09720319634704,53.19218036529681,318.83430365296806,165.3542808219178,24.662956621004565,845.3198059360731
