latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean_2021,dhi_mean_2021,dni_mean_2021,temp_mean_2021,wind_mean_2021,sp_mean_2021,Solar_Energy2021
31.33,-111.06,1482.85,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',28,110,243.68601598173515,52.54189497716895,321.53287671232874,171.01535388127854,25.000399543378997,852.5709474885845,384.24411
31.33,-111.02,1323.45,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',137,130,242.60433789954337,52.84200913242009,318.81352739726026,185.09046803652967,24.89343607305936,875.4486872146118,382.53851999999995
31.33,-110.98,1266.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',16510,130,242.84788812785388,52.06792237442922,319.45148401826486,186.676997716895,24.848344748858448,878.1180365296804,382.92255
31.33,-110.94,1205.05,-7,b'United States',b'Arizona',b'Santa Cruz',b'Nogales',35764,130,242.79754566210045,52.16181506849315,318.1292808219178,192.29269406392697,24.713641552511415,887.624600456621,382.84317
31.33,-110.9,1220.1875,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',446,130,242.876598173516,51.791723744292234,319.1316780821918,191.42488584474887,24.674828767123287,886.3036529680365,382.96782
31.33,-110.86,1183.3,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',278,130,242.6511415525114,51.650456621004565,317.7236301369863,195.5675799086758,24.607762557077624,893.4709474885844,382.61232
31.33,-110.82,1173.95,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',95,130,242.26803652968036,51.570148401826486,317.36318493150685,193.22699771689497,24.60296803652968,889.8436643835616,382.00824
31.33,-110.78,1289.45,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',64,130,242.5009703196347,51.30119863013699,318.77391552511415,189.3505707762557,24.604052511415524,883.5886415525114,382.37552999999997
31.33,-110.74,1559.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',69,110,242.9398401826484,51.28681506849315,321.935502283105,163.29828767123288,24.6236301369863,842.1420091324201,383.06753999999995
31.33,-110.7,1686.9375,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',38,30,241.523401826484,52.109703196347034,319.52979452054797,159.69874429223745,24.63002283105023,836.5881278538812,380.8340999999999
31.33,-110.66,1527.55,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,130,240.65496575342465,52.88213470319635,315.7477739726027,175.29560502283104,24.64994292237443,861.6301369863014,379.46475
31.33,-110.62,1438.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',26,30,240.76552511415525,53.4814497716895,314.84497716894975,177.18584474885844,24.651084474885845,864.6724315068493,379.63908
31.33,-110.58,1423.6,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,130,240.94965753424657,53.355422374429224,314.1108447488584,177.60856164383563,24.64092465753425,865.3170091324201,379.92942
31.33,-110.54,1476.6,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',7,130,241.4054794520548,53.19937214611872,314.83019406392697,176.0695776255708,24.635045662100456,862.8237442922374,380.64815999999996
31.33,-110.5,1519.6875,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',14,30,242.312100456621,52.8908105022831,317.4215182648402,172.20833333333334,24.627739726027396,856.5778538812785,382.07772
31.33,-110.46,1569.9,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',27,130,242.55182648401828,53.00308219178082,318.5973173515982,166.82659817351598,24.61832191780822,847.8840182648402,382.45572
31.33,-110.42,1589.05,-7,b'United States',b'Arizona',b'Cochise',b'None',4,130,242.4611301369863,53.27277397260274,319.0037671232877,166.10867579908677,24.62420091324201,846.6342465753424,382.31271
31.33,-110.38,1596.95,-7,b'United States',b'Arizona',b'Cochise',b'None',1,130,242.09720319634704,53.19218036529681,318.83430365296806,165.3542808219178,24.662956621004565,845.3198059360731,381.73887
31.33,-110.34,1613.6,-7,b'United States',b'Arizona',b'Cochise',b'None',0,130,241.15650684931504,53.67859589041096,316.0816780821918,163.99046803652968,24.69982876712329,843.1135273972603,380.2555799999999
31.33,-110.3,1664.6875,-7,b'United States',b'Arizona',b'Cochise',b'None',0,130,241.31341324200912,53.46461187214612,317.2051369863014,153.8247716894977,24.839383561643835,827.0317351598173,380.50299
31.33,-110.26,1723.3,-7,b'United States',b'Arizona',b'Cochise',b'None',13,30,241.1571917808219,53.56215753424657,316.56803652968034,152.6381278538813,24.89189497716895,825.1451484018265,380.25665999999995
31.33,-110.22,1486.0,-7,b'United States',b'Arizona',b'Cochise',b'None',5,130,241.9183219178082,54.13207762557077,315.84657534246577,173.9388698630137,25.017922374429222,858.6736301369863,381.45681
31.33,-110.18,1375.85,-7,b'United States',b'Arizona',b'Cochise',b'None',34,130,243.4138698630137,54.35759132420091,317.315696347032,177.061301369863,25.048972602739727,863.6906392694063,383.81498999999997
31.33,-110.14,1320.45,-7,b'United States',b'Arizona',b'Cochise',b'None',60,30,244.6888698630137,53.74514840182648,319.3009703196347,181.33133561643837,25.09252283105023,870.5925799086758,385.82541
31.33,-110.1,1343.375,-7,b'United States',b'Arizona',b'Cochise',b'None',4,130,245.9537671232877,52.82408675799087,322.6099885844749,178.67163242009133,25.125456621004567,866.2695776255708,387.81989999999996
31.33,-110.06,1360.7,-7,b'United States',b'Arizona',b'Cochise',b'None',1,130,245.96141552511415,53.172545662100454,322.0665525114155,177.9958904109589,25.133504566210046,865.1901255707762,387.83196
31.33,-110.02,1390.05,-7,b'United States',b'Arizona',b'Cochise',b'None',3,130,246.17990867579908,53.25599315068493,322.4827054794521,175.0648401826484,25.16192922374429,860.2618721461188,388.17647999999997
31.33,-109.98,1403.8,-7,b'United States',b'Arizona',b'Cochise',b'None',7,130,246.3235730593607,53.32796803652968,322.93481735159816,174.91164383561645,25.164326484018265,859.994805936073,388.40301
31.33,-109.94,1410.3,-7,b'United States',b'Arizona',b'Cochise',b'None',5302,130,245.89469178082192,53.34760273972603,322.3111301369863,173.81809360730594,25.1800799086758,857.5672374429224,387.72675
31.33,-109.9,1426.5,-7,b'United States',b'Arizona',b'Cochise',b'None',4,130,245.4442922374429,53.483561643835614,321.439497716895,173.2693493150685,25.187157534246577,856.5820205479451,387.01655999999997
31.33,-109.86,1429.45,-7,b'United States',b'Arizona',b'Cochise',b'None',15,130,245.09880136986305,53.08961187214612,321.55045662100457,172.5571917808219,25.21461187214612,855.1946347031964,386.4717900000001
31.33,-109.82,1407.8,-7,b'United States',b'Arizona',b'Cochise',b'None',5,130,244.0615296803653,53.29897260273973,319.6840182648402,174.84994292237442,25.323059360730593,858.4157534246575,384.83621999999997
