latitude,longitude
31.57,-111.7
31.57,-111.66
31.57,-111.62
31.57,-111.58
31.57,-111.54
31.57,-111.5
31.57,-111.46
31.57,-111.42
31.57,-111.38
31.57,-111.34
31.57,-111.3
31.57,-111.26
31.57,-111.22
31.57,-111.18
31.57,-111.14
31.57,-111.1
31.57,-111.06
31.57,-111.02
31.57,-110.98
31.57,-110.94
31.57,-110.9
31.57,-110.86
31.57,-110.82
31.57,-110.78
31.57,-110.74
31.57,-110.7
31.57,-110.66
31.57,-110.62
31.57,-110.58
31.57,-110.54
31.57,-110.5
31.57,-110.46
31.57,-110.42
31.57,-110.38
31.57,-110.34
31.57,-110.3
31.57,-110.26
31.57,-110.22
31.57,-110.18
31.57,-110.14
31.57,-110.1
31.57,-110.06
31.57,-110.02
31.57,-109.98
31.57,-109.94
31.57,-109.9
31.57,-109.86
31.57,-109.82
31.57,-109.78
31.57,-109.74
31.57,-109.7
31.57,-109.66
31.57,-109.62
31.57,-109.58
31.57,-109.54
31.57,-109.5
31.57,-109.46
31.57,-109.42
31.57,-109.38
31.57,-109.34
31.57,-109.3
31.57,-109.26
31.57,-109.22
31.57,-109.18
31.57,-109.14
31.57,-109.1
31.57,-109.06
31.61,-111.94
31.61,-111.9
31.61,-111.86
31.61,-111.82
31.61,-111.78
31.61,-111.74
31.61,-111.7
31.61,-111.66
31.61,-111.62
31.61,-111.58
31.61,-111.54
31.61,-111.5
31.61,-111.46
31.61,-111.42
31.61,-111.38
31.61,-111.34
31.61,-111.3
31.61,-111.26
31.61,-111.22
31.61,-111.18
31.61,-111.14
31.61,-111.1
31.61,-111.06
31.61,-111.02
31.61,-110.98
31.61,-110.94
31.61,-110.9
31.61,-110.86
31.61,-110.82
31.61,-110.78
31.61,-110.74
31.61,-110.7
31.61,-110.66
31.61,-110.62
31.61,-110.58
31.61,-110.54
31.61,-110.5
31.61,-110.46
31.61,-110.42
31.61,-110.38
31.61,-110.34
31.61,-110.3
31.61,-110.26
31.61,-110.22
31.61,-110.18
31.61,-110.14
31.61,-110.1
31.61,-110.06
31.61,-110.02
31.61,-109.98
31.61,-109.94
31.61,-109.9
31.61,-109.86
31.61,-109.82
31.61,-109.78
31.61,-109.74
31.61,-109.7
31.61,-109.66
31.61,-109.62
31.61,-109.58
31.61,-109.54
31.61,-109.5
