latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean2022,dni_mean2022,dhi_mean2022,temp_mean2022,wind_mean2022,sp_mean2022,Solar_Energy2022
31.33,-111.06,1482.85,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',28,110,239.2,307.0375,54.544235159817354,157.05005707762558,25.99788812785388,844.0298515981735,377.17056
31.33,-111.02,1323.45,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',137,130,239.00924657534247,306.30753424657536,54.55256849315069,172.51512557077626,25.846746575342465,868.9706621004566,376.86978
31.33,-110.98,1266.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',16510,130,239.59315068493152,307.713299086758,53.74931506849315,174.15582191780825,25.7814497716895,871.696404109589,377.79048
31.33,-110.94,1205.05,-7,b'United States',b'Arizona',b'Santa Cruz',b'Nogales',35764,130,237.86586757990867,303.1816780821918,54.30776255707762,177.19731735159817,25.587271689497715,876.9081621004566,375.0669
31.33,-110.9,1220.1875,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',446,130,237.25890410958905,302.10245433789953,54.5439497716895,179.04092465753425,25.52928082191781,880.012899543379,374.10983999999996
31.33,-110.86,1183.3,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',278,130,236.17933789954336,299.26050228310504,54.31352739726027,183.1757420091324,25.445890410958903,886.9951484018264,372.40757999999994
31.33,-110.82,1173.95,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',95,130,236.4794520547945,300.5150684931507,54.28641552511416,184.06284246575345,25.403082191780825,888.7530251141552,372.8807999999999
31.33,-110.78,1289.45,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',64,130,235.35365296803653,298.45770547945204,54.83715753424657,181.5303082191781,25.400114155251146,884.6929794520548,371.10564
31.33,-110.74,1559.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',69,110,235.92962328767123,303.4308219178082,53.57791095890411,165.24537671232878,25.421004566210044,858.5984589041096,372.01383
31.33,-110.7,1686.9375,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',38,30,233.9944063926941,299.3232305936073,54.68190639269407,158.25034246575342,25.429280821917807,847.5635273972603,368.96238
31.33,-110.66,1527.55,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,130,233.68150684931507,297.1181506849315,55.38327625570776,164.87665525114156,25.44931506849315,858.514897260274,368.469
31.33,-110.62,1438.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',26,30,236.26295662100455,301.2315639269406,55.162157534246575,168.32671232876712,25.450342465753423,864.0458333333333,372.5394299999999
31.33,-110.58,1423.6,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,130,236.1798515981735,299.9389840182648,55.60827625570776,168.79657534246576,25.428481735159817,864.7362442922374,372.40839
31.33,-110.54,1476.6,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',7,130,236.99965753424655,302.58824200913244,54.87893835616438,167.27528538812786,25.418664383561644,862.256392694064,373.7010599999999
31.33,-110.5,1519.6875,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',14,30,236.8417808219178,303.43812785388127,54.615810502283104,162.73207762557078,25.391495433789956,854.937899543379,373.45212
31.33,-110.46,1569.9,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',27,130,236.21849315068496,301.64246575342463,55.30593607305936,159.44389269406392,25.34417808219178,849.5708904109589,372.46932
31.33,-110.42,1589.05,-7,b'United States',b'Arizona',b'Cochise',b'None',4,130,236.112899543379,302.94052511415526,55.10490867579909,159.7757420091324,25.333447488584476,850.0390410958904,372.30282
31.33,-110.38,1596.95,-7,b'United States',b'Arizona',b'Cochise',b'None',1,130,235.12237442922375,301.37728310502285,54.89566210045662,158.17254566210045,25.307933789954337,847.3335616438357,370.74096
31.33,-110.34,1613.6,-7,b'United States',b'Arizona',b'Cochise',b'None',0,130,233.14657534246575,295.3214611872146,56.44423515981735,158.07688356164385,25.306849315068497,847.130593607306,367.62551999999994
31.33,-110.3,1664.6875,-7,b'United States',b'Arizona',b'Cochise',b'None',0,130,233.77237442922373,298.26204337899543,55.352739726027394,156.14086757990867,25.337157534246575,843.9265410958905,368.61227999999994
31.33,-110.26,1723.3,-7,b'United States',b'Arizona',b'Cochise',b'None',13,30,232.15827625570776,294.0420091324201,56.489098173515984,156.03550228310502,25.353196347031965,843.7159246575343,366.06717
31.33,-110.22,1486.0,-7,b'United States',b'Arizona',b'Cochise',b'None',5,130,233.59252283105025,296.3160388127854,56.2134703196347,166.98453196347032,25.404794520547945,861.0916666666667,368.32869
31.33,-110.18,1375.85,-7,b'United States',b'Arizona',b'Cochise',b'None',34,130,236.9603881278539,301.78972602739725,55.44320776255708,169.1699200913242,25.415296803652968,864.5935502283105,373.63914
31.33,-110.14,1320.45,-7,b'United States',b'Arizona',b'Cochise',b'None',60,30,237.24583333333337,299.90205479452055,56.12117579908676,170.26900684931508,25.450342465753423,866.3381849315068,374.08923000000004
31.33,-110.1,1343.375,-7,b'United States',b'Arizona',b'Cochise',b'None',4,130,239.6853310502283,305.9151826484018,54.59417808219178,168.2553082191781,25.459703196347032,863.0871575342466,377.93582999999995
31.33,-110.06,1360.7,-7,b'United States',b'Arizona',b'Cochise',b'None',1,130,239.6919520547945,304.2287100456621,55.397260273972606,167.60713470319635,25.464326484018265,862.0344178082191,377.94626999999997
31.33,-110.02,1390.05,-7,b'United States',b'Arizona',b'Cochise',b'None',3,130,239.85530821917808,303.82688356164385,55.93961187214611,164.03236301369864,25.499714611872147,856.0382420091324,378.20385
