latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean,dni_mean,dhi_mean,temp_mean,wind_mean,sp_mean
31.33,-111.06,1482.85,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',28,110,250.2392418032787,336.74510473588344,50.93670309653916,169.139116575592,25.95446265938069,844.6686589253187
31.33,-111.02,1323.45,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',137,130,249.33316256830602,333.8171106557377,51.30407559198543,184.48258196721312,25.788649817850636,869.6165755919855
31.33,-110.98,1266.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',16510,130,249.8461407103825,334.314264571949,51.26775956284153,186.07297358834245,25.71100865209472,872.3551912568306
31.33,-110.94,1205.05,-7,b'United States',b'Arizona',b'Santa Cruz',b'Nogales',35764,130,248.7310450819672,331.03290072859744,52.06295537340619,188.97296220400727,25.473076047358834,877.5732012750456
31.33,-110.9,1220.1875,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',446,130,248.57229052823314,331.07729963570125,51.83498406193078,190.76280737704917,25.395321038251367,880.6811816939891
31.33,-110.86,1183.3,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',278,130,247.90989298724955,329.3029940801457,52.21880692167577,194.81090619307832,25.278688524590162,887.6709927140255
31.33,-110.82,1173.95,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',95,130,247.590220856102,328.37847222222223,52.59084699453552,195.59039162112933,25.191029143897996,889.4382969034608
31.33,-110.78,1289.45,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',64,130,246.53227459016392,326.5381375227687,53.14008424408014,193.01855646630236,25.181409380692166,885.3843920765028
31.33,-110.74,1559.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',69,110,247.01400273224044,330.0143442622951,52.52755009107468,176.65573770491804,25.174578779599273,859.2968465391621
31.33,-110.7,1686.9375,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',38,30,246.91541438979962,330.6104280510018,52.48907103825137,169.6468010018215,25.18021402550091,848.2622381602914
31.33,-110.66,1527.55,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,130,246.9007285974499,329.83509790528234,52.185223132969035,176.08805783242258,25.185109289617486,859.2335496357013
31.33,-110.62,1438.8,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',26,30,247.97728825136613,331.4926001821494,51.494193989071036,179.5268670309654,25.186020036429873,864.7675887978143
31.33,-110.58,1423.6,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',1,130,247.44347677595627,329.91780510018214,51.923611111111114,179.75717213114754,25.161372950819672,865.4585610200364
31.33,-110.54,1476.6,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',7,130,247.7807946265938,330.93897996357015,51.97984972677595,178.20138888888889,25.153233151183972,862.9878187613843
31.33,-110.5,1519.6875,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',14,30,248.75290300546447,333.9322632058288,51.28870673952641,173.60900500910748,25.130862932604735,855.656762295082
31.33,-110.46,1569.9,-7,b'United States',b'Arizona',b'Santa Cruz',b'None',27,130,248.98303734061932,333.7281420765027,51.69165528233151,170.20440573770492,25.084813296903462,850.2910974499089
31.33,-110.42,1589.05,-7,b'United States',b'Arizona',b'Cochise',b'None',4,130,249.4311247723133,335.4377276867031,50.98537112932605,170.48611111111111,25.065744535519126,850.7633196721312
31.33,-110.38,1596.95,-7,b'United States',b'Arizona',b'Cochise',b'None',1,130,249.27060564663023,335.4443875227687,50.787283697632056,168.71954690346084,25.022939435336976,848.0588000910747
31.33,-110.34,1613.6,-7,b'United States',b'Arizona',b'Cochise',b'None',0,130,248.70850409836066,332.9836065573771,51.70195810564663,168.57365664845173,25.015596539162114,847.8571265938069
31.33,-110.3,1664.6875,-7,b'United States',b'Arizona',b'Cochise',b'None',0,130,249.6557946265938,335.40568078324225,51.12835837887067,166.4678961748634,25.011498178506375,844.6501024590164
31.33,-110.26,1723.3,-7,b'United States',b'Arizona',b'Cochise',b'None',13,30,250.0248747723133,334.70810564663026,51.439890710382514,166.31193078324225,25.01952413479053,844.443306010929
31.33,-110.22,1486.0,-7,b'United States',b'Arizona',b'Cochise',b'None',5,130,249.5805441712204,331.838968579235,51.837773224043715,177.11145264116576,25.043431238615664,861.8208674863388
31.33,-110.18,1375.85,-7,b'United States',b'Arizona',b'Cochise',b'None',34,130,249.54633424408016,330.9372723132969,51.89924863387978,179.25876593806922,25.05310792349727,865.3290072859745
31.33,-110.14,1320.45,-7,b'United States',b'Arizona',b'Cochise',b'None',60,30,248.8241689435337,328.23798952641164,52.79229280510018,180.25751366120218,25.073428961748633,867.073087431694
31.33,-110.1,1343.375,-7,b'United States',b'Arizona',b'Cochise',b'None',4,130,250.0880009107468,331.15790072859744,52.25717213114754,178.20002276867032,25.08424408014572,863.8198428961749
31.33,-110.06,1360.7,-7,b'United States',b'Arizona',b'Cochise',b'None',1,130,250.86668943533698,332.51929644808746,52.44472905282331,177.53375455373407,25.090220856102004,862.7682718579235
31.33,-110.02,1390.05,-7,b'United States',b'Arizona',b'Cochise',b'None',3,130,251.10040983606558,332.8164275956284,52.56289845173042,173.79559426229508,25.11646174863388,856.779485428051
31.33,-109.98,1403.8,-7,b'United States',b'Arizona',b'Cochise',b'None',7,130,252.13205828779599,335.4275956284153,51.86646174863388,173.69660746812386,25.118567850637522,856.6110541894353
31.33,-109.94,1410.3,-7,b'United States',b'Arizona',b'Cochise',b'None',5302,130,251.58726092896174,333.13507513661204,52.57712887067395,173.5942053734062,25.12528460837887,856.0815118397086
